______________________________________________________________________
Marvellous Process log
LOG file created as Sun Jun  2 10:15:33 2024
______________________________________________________________________
CONTENT OF FILE ARE :
______________________________________________________________________
{'name': 'Google Chrome Helper (Renderer)', 'pid': 63088, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper', 'pid': 63097, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Renderer)', 'pid': 63156, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 63157, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper', 'pid': 63158, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 63159, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 63160, 'username': 'shubhamwalhekar'} 
{'name': 'zsh', 'pid': 63161, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 63164, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 63168, 'username': 'shubhamwalhekar'} 
{'name': 'TabNine', 'pid': 63226, 'username': 'shubhamwalhekar'} 
{'name': 'Code Helper (Plugin)', 'pid': 63246, 'username': 'shubhamwalhekar'} 
{'name': 'TabNine', 'pid': 63272, 'username': 'shubhamwalhekar'} 
{'name': 'WD-TabNine', 'pid': 63651, 'username': 'shubhamwalhekar'} 
{'name': 'ViewBridgeAuxiliary', 'pid': 64159, 'username': 'shubhamwalhekar'} 
{'name': 'ContextStoreAgent', 'pid': 64161, 'username': 'shubhamwalhekar'} 
{'name': 'contentlinkingd', 'pid': 64167, 'username': 'shubhamwalhekar'} 
{'name': 'CursorUIViewService', 'pid': 64168, 'username': 'shubhamwalhekar'} 
{'name': 'com.apple.hiservices-xpcservice', 'pid': 64171, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 64320, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 64324, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 64325, 'username': 'shubhamwalhekar'} 
{'name': 'cloudd', 'pid': 64331, 'username': 'shubhamwalhekar'} 
{'name': 'biomed', 'pid': 64337, 'username': '_biome'} 
{'name': 'usermanagerd', 'pid': 64339, 'username': 'root'} 
{'name': 'pkd', 'pid': 64340, 'username': 'shubhamwalhekar'} 
{'name': 'proactived', 'pid': 64341, 'username': 'shubhamwalhekar'} 
{'name': 'mobileassetd', 'pid': 64348, 'username': 'root'} 
{'name': 'com.apple.appkit.xpc.openAndSavePanelService', 'pid': 64360, 'username': 'shubhamwalhekar'} 
{'name': 'QuickLookUIService', 'pid': 64364, 'username': 'shubhamwalhekar'} 
{'name': 'syncdefaultsd', 'pid': 64375, 'username': 'shubhamwalhekar'} 
{'name': 'backupd', 'pid': 64377, 'username': 'root'} 
{'name': 'suggestd', 'pid': 64390, 'username': 'shubhamwalhekar'} 
{'name': 'chronod', 'pid': 64418, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 64456, 'username': 'shubhamwalhekar'} 
{'name': 'Google Chrome Helper (Renderer)', 'pid': 64470, 'username': 'shubhamwalhekar'} 
{'name': 'com.apple.AuthenticationServices.Helper', 'pid': 64514, 'username': 'shubhamwalhekar'} 
